mode,wind_component,air_speed_uncapped,air_speed_capped,headwind_component,energy,adaptive_energy,no_wind_energy
head_tail,-8.0,3.0,3.0,0.0,73.3915926535898,76.27159265358979,109.3915926535898
crosswind,-8.0,9.433981132056603,9.433981132056603,0.0,253.39159265358973,138.1915926535898,109.3915926535898
head_tail,-7.75,2.75,2.75,0.0,70.1572176535898,73.2959676535898,109.3915926535898
crosswind,-7.75,9.222933372848358,9.222933372848358,0.0,244.53221765358975,136.41971765358977,109.3915926535898
head_tail,-7.5,2.5,2.5,0.0,67.2040926535898,70.5790926535898,109.3915926535898
crosswind,-7.5,9.013878188659973,9.013878188659973,0.0,235.95409265358978,134.70409265358978,109.3915926535898
head_tail,-7.25,2.25,2.25,0.0,64.5322176535898,68.12096765358979,109.3915926535898
crosswind,-7.25,8.806957476904268,8.806957476904268,0.0,227.65721765358973,133.04471765358977,109.3915926535898
head_tail,-7.0,2.0,2.0,0.0,62.1415926535898,65.9215926535898,109.3915926535898
crosswind,-7.0,8.602325267042627,8.602325267042627,0.0,219.64159265358978,131.4415926535898,109.3915926535898
head_tail,-6.75,1.75,1.75,0.0,60.03221765358978,63.98096765358978,109.3915926535898
crosswind,-6.75,8.40014880820572,8.40014880820572,0.0,211.90721765358973,129.8947176535898,109.3915926535898
head_tail,-6.5,1.5,1.5,0.0,58.2040926535898,62.299092653589796,109.3915926535898
crosswind,-6.5,8.200609733428363,8.200609733428363,0.0,204.45409265358984,128.4040926535898,109.3915926535898
head_tail,-6.25,1.25,1.25,0.0,56.6572176535898,60.8759676535898,109.3915926535898
crosswind,-6.25,8.00390529679106,8.00390529679106,0.0,197.28221765358978,126.9697176535898,109.3915926535898
head_tail,-6.0,1.0,1.0,0.0,55.3915926535898,59.7115926535898,109.3915926535898
crosswind,-6.0,7.810249675906654,7.810249675906654,0.0,190.39159265358975,125.59159265358979,109.3915926535898
head_tail,-5.75,0.75,0.75,0.0,54.4072176535898,58.805967653589796,109.3915926535898
crosswind,-5.75,7.6198753270640855,7.6198753270640855,0.0,183.7822176535898,124.2697176535898,109.3915926535898
head_tail,-5.5,0.5,0.5,0.0,53.7040926535898,58.159092653589795,109.3915926535898
crosswind,-5.5,7.433034373659253,7.433034373659253,0.0,177.45409265358978,123.0040926535898,109.3915926535898
head_tail,-5.25,0.25,0.25,0.0,53.2822176535898,57.77096765358979,109.3915926535898
crosswind,-5.25,7.25,7.25,0.0,171.40721765358978,121.7947176535898,109.3915926535898
head_tail,-5.0,0.0,0.0,0.0,53.1415926535898,57.6415926535898,109.3915926535898
crosswind,-5.0,7.0710678118654755,7.0710678118654755,0.0,165.6415926535898,120.6415926535898,109.3915926535898
