group,level,variant,n_pairs,delta_swc_mean,delta_swc_median,delta_swc_low,delta_swc_high,abs_delta_swc_mean
energy_quantile,q80,energy_quantile=q80,126,0.004734516401845592,0.0,-0.015702604482132107,0.058030303030302974,0.00871590451235693
energy_quantile,q95,energy_quantile=q95,126,0.003690872463015745,0.0,-0.030955743879472683,0.05748175182481756,0.009472526164219543
reserve_floor,60.0,reserve_floor=60,126,0.01268550483617511,0.008163401306144236,-0.022005007704160334,0.07539778206364509,0.01746034730523981
reserve_floor,100.0,reserve_floor=100,126,-0.011881256524743334,-0.014388489208633115,-0.06884898190045247,0.037395640074211464,0.019043492100656798
reserve_buffer,8.0,reserve_buffer=8,126,0.0032955911500568546,0.0,-0.015384615384615427,0.031208690154606547,0.007752820129412317
reserve_buffer,24.0,reserve_buffer=24,126,-0.00168234270974545,0.0,-0.030626780626780634,0.024169354838709647,0.008013839905015445
clearance_threshold,0.03,clearance_threshold=0.03,126,0.000380567266490062,0.0,0.0,0.0,0.0014129585427837777
clearance_threshold,0.08,clearance_threshold=0.08,126,4.45641016184456e-05,0.0,0.0,0.0,0.0009553109140046015
risk_dispersion_scale,0.75,risk_dispersion_scale=0.75,126,0.00041771210452124657,0.0,-0.0435001438021282,0.05481395348837215,0.014184914738174128
risk_dispersion_scale,1.25,risk_dispersion_scale=1.25,126,0.0014892516522523377,0.0,-0.04466156061796282,0.05305824619924303,0.01410144573497163
beam_search_budget,0.5,beam_search_budget=0.5x,126,-0.02390034693267705,-0.016739039081103857,-0.11737557870370376,0.044862595419847356,0.029825129802133712
beam_search_budget,1.5,beam_search_budget=1.5x,126,-0.0008505125663355736,0.0,-0.03094857683886626,0.046562043795620484,0.007820384873250395
horizon_length,8,horizon_length=8,126,0.0012811847140733557,0.0,-0.027944220503322778,0.045816793893129815,0.0038016851872931835
horizon_length,10,horizon_length=10,126,0.0002685765025640443,0.0,0.0,0.0,0.000643529633422688
horizon_length,12,horizon_length=12,126,0.0008466491822411384,0.0,-0.0065298507462686756,0.006481481481481491,0.0014484790999613388
rr_cmp_weights,0.75,rr_cmp_weights=0.75x,126,-0.0013306804851139907,0.0,-0.03427077444884112,0.028202736318407945,0.005127975322465842
rr_cmp_weights,1.25,rr_cmp_weights=1.25x,126,0.0002009673373362179,0.0,-0.01597857486759749,0.028433135844265767,0.0049931148320378135
gust_samples,16,gust_samples=16,126,0.0015062007629341875,0.0,-0.033023980490448454,0.0402822580645161,0.011980922214336475
gust_samples,64,gust_samples=64,126,0.0035875746006015868,0.0,-0.022535349567949767,0.06590909090909089,0.010818350620078765
replan_cap,1.0,replan_cap=1s,126,-0.0047529286299583095,0.0,-0.04379562043795625,0.024053970223325047,0.00939319555473495
replan_cap,2.5,replan_cap=2.5s,126,0.0012076633918268187,0.0,0.0,0.01559495192307693,0.0015604355062287408
