scenario,planner,safe_weighted_coverage,n
Blind,FairALNSPlanner,0.6987477558553926,600
Blind,FairRiskAwareGreedy,0.5135087463226036,600
Blind,NearestNeighbor,0.0275196781545832,600
Blind,RAWA-RHP,0.8434907560206093,600
Blind,ReserveOnlyPlanner,0.498510002622239,600
Blind,ValuePerDistance,0.011995363667762436,600
Blind,WindAwareGreedy,0.016081493820787333,600
Gust x3,FairALNSPlanner,0.598629327555853,400
Gust x3,FairRiskAwareGreedy,0.4646708648599462,400
Gust x3,NearestNeighbor,0.01127685210437944,400
Gust x3,RAWA-RHP,0.8005681885306407,400
Gust x3,ReserveOnlyPlanner,0.3940085718485069,400
Gust x3,ValuePerDistance,0.010576651612188504,400
Gust x3,WindAwareGreedy,0.012691595038214331,400
